pali,thai
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
กตโม,เป็นอย่างไร
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ปน,ก็
นิจฺจทานานิ,ทานที่ให้เป็นนิจ ท.
ยานิ โข ตานิ,เหล่า
,ใด
อนุกุลยญฺญานิ,เป็นยัญที่ทำสืบกันมา
(ปุคฺคเลน),อันบุคคล
ทิยฺยนฺติ,ย่อมถวาย
อุทฺทิสฺส,เจาะจง
ปพฺพชิเต,ซึ่งบรรพชิต ท.
สีลวนฺเต,ผู้มีศีล
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํ โข,การให้เป็นนิจแก่บรรพชิตผู้มีศีลนี้แหละ
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
โก นุ โข,อะไรหนอแล
เหตุ,เป็นเหตุ
โก,อะไร
ปจฺจโย,เป็นปัจจัย
(โหติ),ย่อมเป็น
นิจฺจทานํ,ทานที่ให้เป็นนิจ
อนุกุลยญฺญํ,เป็นยัญที่ทำสืบกันมา
ตํ,นั้น
อปฺปฏฺฐตรํ จ,ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตรํ จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตรํ จ,มีผลมากว่าด้วย
มหานิสํสตรํ จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
เยน,เพราะเหตุไร
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
อรหนฺโต วา,พระอรหันต์ ท. ก็ดี
สมาปนฺนา,ท่าน ท. ที่ได้บรรลุ
อรหตฺตมคฺคํ,ซึ่งอรหัตตมรรค
วา,ก็ดี
น อุปสงฺกมนฺติ,ย่อมไม่เข้าไป
ยญฺญํ,สู่ที่บูชายัญ
เอวรูปํ โข,อันมีลักษณะเช่นนั้นแล
ตํ,การที่พระอรหันต์เป็นต้นไม่เข้าไปสู่ที่บูชายัญนั้น
เหตุ,เป็นเหตุ
กิสฺส,แห่งอะไรเล่า
พฺราหฺมณ,ดูก่อนพราหมณ์
หิ,เพราะว่า
เอตฺถ,ในยัญนั้น
ทณฺฑปฺปหาราปิ,การประหารด้วยท่อนไม้บ้าง
คลคฺคหาปิ,การจับคอลากไปบ้าง
ทิสฺสนฺติ,ย่อมปรากฏอยู่
ตสฺมา,เพราะเหตุนั้น
อรหนฺโต วา,พระอรหันต์ ท. ก็ดี
สมาปนฺนา,ท่าน ท. ที่ได้บรรลุ
อรหตฺตมคฺคํ,ซึ่งอรหัตตมรรค
วา,ก็ดี
น อุปสงฺกมนฺติ,ย่อมไม่เข้าไป
ยญฺญํ,สู่ที่บูชายัญ
เอวรูปํ,อันมีลักษณะเช่นนั้น.
พฺราหฺมณ,ดูก่อนพราหมณ์
ปน,แต่ว่า
นิจฺจทานานิ,ทานที่ให้เป็นนิจ ท.
ยานิ โข ตานิ,เหล่า
,ใด
อนุกุลยญฺญานิ,เป็นยัญที่ทำสืบกันมา
(ปุคฺคเลน),อันบุคคล
ทิยฺยนฺติ,ย่อมถวาย
อุทฺทิสฺส,เจาะจง
ปพฺพชิเต,ซึ่งบรรพชิต ท.
สีลวนฺเต,ผู้มีศี
พฺราหฺมณ,ดูก่อนพราหมณ์
อรหนฺโต วา,พระอรหันต์ ท. ก็ดี
สมาปนฺนา,ท่าน ท. ที่ได้บรรลุ
อรหตฺตมคฺคํ,ซึ่งอรหัตตมรรค
วา,ก็ดี
อุปสงฺกมนฺติ,ย่อม
,เข้าไป
ยญฺญํ,สู่ที่บูชายัญ
เอวรูปํ โข,อันมีลักษณะเช่นนั้นแล
ตํ,การที่พระอรหันต์เป็นต้นเข้าไปสู่ที่บูชายัญนั้น
เหตุ,เป็นเหตุ
กิสฺส,แห่งอะไรเล่า
พฺราหฺมณ,ดูก่อนพราหมณ์
หิ,เพราะว่า
เอตฺถ,ในยัญนั้น
ทณฺฑปฺปหาราปิ,การประหารด้วยท่อนไม้บ้าง
คลคฺคหาปิ,การจับคอลากไปบ้าง
ทิสฺสนฺติ,ย่อมไม่ปรากฏ
ตสฺมา,เพราะเหตุนั้น
อรหนฺโต วา,พระอรหันต์ ท. ก็ดี
สมาปนฺนา,ท่าน ท. ที่ได้บรรลุ
อรหตฺตมคฺคํ,ซึ่งอรหัตตมรรค
วา,ก็ดี
อุปสงฺกมนฺติ,ย่อมเข้าไป
ยญฺญํ,สู่ที่บูชายัญ
เอวรูปํ,อันมีลักษณะเช่นนั้น
พฺราหฺมณ,ดูก่อนพราหมณ์
นิจฺจทานํ,ทานที่ให้เป็นนิจ
อนุกุลยญฺญํ,เป็นยัญที่ทำสืบกันมา
ตํ,นั้น
อปฺปฏฺฐตรํ จ,ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตรํ จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตรํ จ,มีผลมากว่าด้วย
มหานิสํสตรํ จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีองค์ประกอบ ๑๖  อย่าง
อิมาย,นี้
เยน,เพราะเหตุไร
อยํ โข,สิ่งนี้แล
เหตุ,เป็นเหตุ
อยํ,สิ่งนี้
ปจฺจโย,เป็นปัจจัย
(โหติ),ย่อมเป็น.
,[๓๕๐]
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
อตฺถิ,มีอยู่หรือ
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
อตฺถิโข,มีอยู่
,แล
,\par
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
โส,นั้น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
กตโม,เป็นอย่างไร
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
โย โข (ปุคฺคโล),บุคคลใด
กโรติ,ย่อมสร้าง
วิหารํ,ซึ่งวิหาร
อุทฺทิสฺส,เจาะจง
สํฆํ,ซึ่งพระสงฆ์
จาตุทฺทิสํ,ผู้มาจากทิศทั้ง ๔
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํ โข,การสร้างวิหารอุทิศพระสงฆ์ผู้มาจากทิศทั้ง ๔ นี้แล
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
,[๓๕๑]
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
อตฺถิ,มีอยู่หรือ
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
อตฺถิโข,มีอยู่
,แล
,\par
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
โส,นั้น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
กตโม,เป็นอย่างไร
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
โย โข (ปุคฺคโล),บุคคลใด
ปสนฺนจิตฺโต,มีจิตเลื่อมใสแล้ว
คจฺฉติ,ย่อมถึง
พุทฺธํ,ซึ่งพระพุทธเจ้า
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
คจฺฉติ,ย่อมถึง
ธมฺมํ,ซึ่งพระธรรม
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
คจฺฉติ,ย่อมถึง
สํฆํ,ซึ่งพระสงฆ์
สรณํ=สรณํ อิติ,ว่าเป็นสรณะ
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํ โข,การถึงพระรัตนตรัยเป็นสรณะนี้แล
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
,[๓๕๒]
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
จ,ด้วย
อตฺถิ,มีอยู่หรือ
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
จ,ด้วย
,มีอยู่
,แล
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
โส,นั้น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
,ด้วย
กตโม,เป็นอย่างไร
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
โย โข (ปุคฺคโล),บุคคลใด
ปสนฺนจิตฺโต,มีจิตเลื่อมใสแล้ว
สมาทิยติ,ย่อมสมาทาน
สิกฺขาปทานิ,ซึ่งสิกขาบท ท.
เวรมณึ,คือ เจตนาเป็นเครื่องเว้น
ปาณาติปาตา,จากการฆ่าสัตว์
เวรมณึ,เจตนาเป็นเครื่องเว้น
อทินฺนาทานา,จากการถือเอาสิ่งของที่เจ้าของเขาไม่ได้ให้แล้ว
เวรมณึ,เจตนาเป็นเครื่องเว้น
กาเมสุมิจฺฉาจารา,จากการประพฤติผิดในกาม ท.
เวรมณึ,เจตนาเป็นเครื่องเว้น
มุสาวาทา,จากการพูดเท็จ
เวรมณึ,เจตนาเป็นเครื่องเว้น
สุราเมรยมชฺชปมาทฏฺฐานา,จากการเสพของมึนเมาคือสุราและเมรัยอันเป็นเหตุแห่งความประมาท
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํ โข,การมีจิตเลื่อมใสสมาทานสิกขาบท ๕ นี้แล
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ ท.
อิเมหิ,เหล่านี้
จ,ด้วย
,[๓๕๓]
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
จ,ด้วย
สิกฺขาปเทหิ,กว่าสิกขาบท ท.
อิเมหิ,เหล่านี้
จ,ด้วย
อตฺถิ,มีอยู่หรือ
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ยญฺโญ,ยัญ
อญฺโญ,อย่างอื่น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
จ,ด้วย
สิกฺขาปเทหิ,กว่าสิกขาบท ท.
อิเมหิ,เหล่านี้
จ,ด้วย
อตฺถิโข,มีอยู่
,แล
,\par
(พฺราหฺมโณ),พราหมณ์
(กูฏทนฺโต),ผู้มีนามว่ากูฏทันตะ
(ปุจฉิ),ทูลถามแล้ว
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
ปน,ก็
ยญฺโญ,ยัญ
โส,นั้น
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺญสมฺปทาย,กว่ายัญสมบัติ
ติวิธาย,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขาราย,ที่มีบริวาร ๑๖  อย่าง
อิมาย,นี้
จ,ด้วย
นิจฺจทาเนน,กว่านิตยทาน
อนุกุลยญฺเญน,ที่ทำสืบกันมา
อิมินา,นี้
จ,ด้วย
วิหารทาเนน,กว่าการถวายวิหาร
อิมินา,นี้
จ,ด้วย
สรณคมเนหิ,กว่าการถึงเป็นสรณะ  ท.
อิเมหิ,เหล่านี้
จ,ด้วย
สิกฺขาปเทหิ,กว่าสิกขาบท ท.
อิเมหิ,เหล่านี้
จ,ด้วย
กตโม,เป็นอย่างไร
,\par
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสตอบแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ตถาคโต,พระตถาคตเจ้า
อุปฺปชฺชติ,ย่อมทรงอุบัติขึ้น
อิธ โลเก,ในโลกนี้
อรหํ,เป็นผู้ทรงได้พระนามว่าอรหํ
สมฺมาสมฺพุทฺโธ,เป็นผู้ทรงได้พระนามว่าสัมมาสัมพุทธะ  ฯลฯ
,(
"ยถา สามญฺญผเล,เอวํ วิตฺถาเรตพฺพํ",พึงดูพิสดารเหมือนในสามัญญผลสูตร)
,ฯลฯ
พฺราหฺมณ,ดูก่อนพราหมณ์
(ภิกฺขุ),ภิกษุ
สีลสมฺปนฺโน,เป็นผู้ถึงพร้อมแล้วด้วยศีล
โหติ,ย่อมเป็น
เอวํ โข,อย่างนี้แล
ภิกฺขุ,ภิกษุ
อุปสมฺปชฺช,เข้าถึงแล้ว
ปฐมํฌานํ,ซึ่งปฐมฌาน
วิหรติ,ย่อมดำรงอยู่.
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํ โข,การบรรลุปฐมฌานนี้แล
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโรจ,มีผลมากว่าด้วย
มหานิสํสตโรจ,มีอานิสงส์
,มากกว่าด้วย
ยญฺเญหิ,กว่ายัญ ท.
ปุริเมหิ,อันก่อน ๆ
,ฯลฯ
ทุติยํ ฌานํ,เข้าถึงแล้วซึ่งทุติยฌาน.
ตติยํฌานํ,เข้าถึงแล้วซึ่งตติ
,ฌาน.
อุปสมฺปชฺช,เข้าถึงแล้ว
จตุตฺถํ ฌานํ,ซึ่งจตุตถฌาน
วิหรติ,ย่อมดำรงอยู่
พฺราหฺมณ,ดูก่อนพราหมณ์
อยํปิ โข,แม้การบรรลุจตุตถฌานนี้แล
ยญฺโญ,เป็นยัญ
อปฺปฏฺฐตโร จ,ที่ใช้ทุนทรัพย์น้อยกว่าด้วย
อปฺปสมารมฺภตโร จ,มีการเบียดเบียนน้อยกว่าด้วย
มหปฺผลตโร จ,มีผลมากว่าด้วย
มหานิสํสตโร จ,มีอานิสงส์มากกว่าด้วย
ยญฺเญหิ,กว่ายัญ ท.
ปุริเมหิ,อันก่อน ๆ
,ฯลฯ
(ภิกฺขุ),ภิกษุ
อภินีหรติ,ย่อมนำไป
อภินินฺนาเมติ,ย่อมน้อมไป
จิตฺตํ,ซึ่งจิต
